AGE,고용상태,교육수준,상품타입,거주지사이즈,자동차,Willingness to pay/Stay,소득,월 납입액,타 상품 보유 현황,총지불금액
3,0,0,0,0,0,-0.8109430228350059,-1.2424133799643753,-0.47267131000761536,1,0.26593854240533243
1,1,0,0,0,0,-0.3256383546118156,1.5114840790048936,-0.47267131000761536,4,-1.3422699054773908
2,0,0,0,0,0,-0.5046556385673441,-0.6492893361841893,-0.9437918482435375,4,-0.48381548269077246
5,1,0,1,1,0,0.6002166608456829,0.13771516568944547,0.23400949734626791,2,2.0302296126128954
4,1,1,0,0,0,0.1191077102152004,-0.5245404370282376,0.469569766464229,3,1.1466904826669277
3,1,0,0,0,0,-0.06270671880213324,0.39157048986282667,-0.7082315791255764,2,-1.4844165793803696
3,0,0,0,0,0,-0.3675955305388926,-0.820675539154875,-0.7082315791255764,4,-0.2692018769941179
1,1,0,0,0,0,-0.6668900521520417,2.195321211833814,-0.23711104088965426,1,-1.3812905610586006
3,1,0,0,0,0,0.11631056515339516,0.2698836359068322,0.7051300355821901,4,-1.144379437886969
2,0,0,0,0,0,-0.1899768191142667,-1.2424133799643753,-0.9437918482435375,2,-1.3534186642148793
3,0,0,0,0,0,-0.7787758546242469,-1.2424133799643753,-0.23711104088965426,1,-0.04622670224434694
1,1,0,0,0,1,0.5736437827585342,1.7929272527201974,0.23400949734626791,2,-1.0719125060932935
3,0,0,0,0,0,1.8099819000764024,-1.2424133799643753,-0.23711104088965426,2,0.5335087521050575
4,1,0,0,0,0,-0.6361214564721852,-0.1332463917644663,-0.0015507717716931723,1,0.04296336765556145
3,1,0,0,0,0,0.22260207750199035,0.07576763587492516,-0.9437918482435375,2,-1.0496149886183164
2,0,0,0,0,0,-0.46269846264026704,-1.2424133799643753,-0.7082315791255764,3,-0.35281756752528204
3,0,0,0,0,1,-0.09067816942018449,-1.2424133799643753,0.23400949734626791,4,1.4254094511041415
4,1,0,0,0,0,-0.7745801370315392,0.8155754218299877,-0.7082315791255764,1,-1.1750385244150625
3,0,0,0,0,0,-0.5731856925815698,-1.2424133799643753,-0.9437918482435375,3,0.06804807481491068
1,1,0,0,0,0,0.05477337379368243,2.2023580272452543,-0.7082315791255764,2,-0.28592501510035073
5,1,0,0,0,1,0.9820269617820837,0.5951964956599856,3.0607327267618007,4,1.433771020157258
2,1,0,0,0,0,-0.5522071046180312,1.443765771698146,0.469569766464229,1,0.6059756838987331
1,1,0,0,1,0,1.6603346392698282,2.039775204224446,-0.47267131000761536,2,-0.18837337614732594
3,0,0,0,0,0,-0.48367705060380556,-0.7837248975592367,-0.7082315791255764,4,-0.2441171698347687
4,1,0,0,0,0,-0.1675996586198257,0.46002486572725615,-0.23711104088965426,3,-0.037865133191230534
3,0,0,0,0,0,0.005823335212092469,-1.2424133799643753,-0.47267131000761536,2,0.4164467853614278
3,0,0,0,1,0,2.2826994155214697,-1.2424133799643753,0.7051300355821901,2,1.8351263347068456
5,1,0,0,0,0,-0.534025661716298,1.0981374197529683,0.469569766464229,1,0.34119266388338015
3,1,0,0,0,0,-0.8039501601804931,-0.142314756395109,-0.9437918482435375,1,-0.5451336557469595
3,0,0,0,0,0,-0.610947150915939,-1.2424133799643753,0.23400949734626791,1,0.27430011145844885
3,0,0,1,0,1,0.46735227040993926,-1.2424133799643753,2.1184916502899567,4,2.6211138256997883
4,0,0,0,0,0,-0.640317174064893,-0.5658780472276608,-0.0015507717716931723,1,1.6567461949070288
3,0,0,0,0,0,-0.5410185243708108,-1.2424133799643753,-0.7082315791255764,3,0.11821748913360915
2,1,0,0,0,0,0.3079150018870468,1.1834330442171628,1.1762505738181122,3,-0.28871220478472287
3,1,0,0,0,0,-0.1675996586198257,-0.36758117778811983,-0.0015507717716931723,4,-0.9743608671402686
3,0,0,0,0,0,-0.11725104750733323,-1.2424133799643753,0.23400949734626791,3,0.703527322851758
3,1,0,0,0,0,-0.7410143962898776,0.5971102739099589,-0.7082315791255764,1,-1.063550937040177
2,0,0,0,0,0,0.0184104879902157,-1.2424133799643753,0.7051300355821901,4,-0.9659992980871522
1,1,0,0,1,0,0.06875909910270794,1.9099327106493345,0.7051300355821901,3,-1.269802973683715
4,1,0,1,0,0,3.7763748785254103,-0.42755604386805224,1.6473711120540344,2,0.9515872047608782
3,1,0,0,0,0,0.06596195404090294,-0.1972549135404963,-0.47267131000761536,2,-0.28592501510035073
4,1,1,0,1,0,-0.6543028993739186,0.8294135107144099,-0.23711104088965426,1,-1.3004620602118087
1,1,0,0,0,0,-0.756398694129806,1.9000105064917805,-0.7082315791255764,1,-0.9269786425059423
3,0,0,0,0,0,1.5134845235250585,-1.2424133799643753,-0.9437918482435375,2,0.017878660496212215
4,1,0,0,0,0,-0.746608686413488,0.9444757476512662,-0.7082315791255764,1,-0.3639663262627706
6,1,0,0,0,1,0.8687425867789758,0.8257037251836925,2.5896121885258787,4,1.5814920734289812
5,1,0,0,0,1,-0.4347270120222157,0.7800085891227916,0.9406903047001511,1,0.6059756838987331
2,0,0,0,0,0,-0.8403130459839598,-1.2424133799643753,-0.9437918482435375,1,-1.1081459719901312
1,1,0,0,0,0,-0.7508044040061956,1.9448518030257702,-0.7082315791255764,1,-0.8684476591341274
5,1,0,0,0,0,-0.31444977436459515,0.7988519441994518,-0.47267131000761536,3,0.3913620782020786
2,0,0,0,0,0,-0.11864962003823586,-1.2424133799643753,-0.7082315791255764,2,-0.35281756752528204
4,1,0,0,1,0,-0.25990544565939505,0.3273853116329529,-0.47267131000761536,3,-0.1716502380410931
1,1,0,0,0,0,0.06036766391729268,1.1892332644516974,-0.7082315791255764,2,-0.901893935346593
3,1,1,0,0,0,0.48972943090438026,0.19280253654636917,0.23400949734626791,2,-1.1973360418900396
5,1,0,0,0,0,-0.3424212249826464,0.5643699444642618,-0.47267131000761536,4,1.2191574144606034
3,0,0,0,0,0,0.25616781824365187,-1.2424133799643753,-0.0015507717716931723,2,0.7118888919048744
1,1,0,0,0,0,-0.16200536849621533,1.9613986242024624,-0.9437918482435375,2,-0.20230932456918663
2,0,0,0,0,0,-0.48087990554200044,-1.2424133799643753,-0.7082315791255764,4,-0.3862638437377477
4,0,0,0,0,0,-0.7298258160426572,-0.48691261235953176,-0.47267131000761536,1,0.4889137171551034
3,0,0,1,0,0,-0.6654914796211391,-1.2424133799643753,0.23400949734626791,1,1.8657854212349392
4,1,0,0,0,0,-0.39836412621874895,0.7159411818621471,-0.7082315791255764,4,-0.3862638437377477
1,1,0,0,0,0,4.1959466377961805,1.5994589930190506,0.23400949734626791,2,-0.9186170734528258
